localidad,anio,vif_casos,lesiones_casos,spa_casos,poblacion_ref,vif_tasa,lesiones_tasa,spa_tasa
RAFAEL URIBE URIBE,2019,1781.0,1483.0,516.0,374246,475.89018987510883,396.26342031711766,137.87722514068287
RAFAEL URIBE URIBE,2020,1752.0,1150.0,342.0,374246,468.1412760590627,307.28451339493273,91.3837422444061
RAFAEL URIBE URIBE,2021,1688.0,1319.0,240.0,374246,451.04022487882304,352.4419766677533,64.12894192589901
RAFAEL URIBE URIBE,2022,1458.0,1037.0,319.0,374246,389.58332219983646,277.090469904822,85.23805197650744
RAFAEL URIBE URIBE,2023,1614.0,1067.0,293.0,374246,431.2671344516708,285.10658764555933,78.29074993453503
RAFAEL URIBE URIBE,2024,1726.0,1053.0,372.0,374246,461.19397401709034,281.3657326998819,99.39985998514346
RAFAEL URIBE URIBE,2025,1250.0,684.0,474.0,374246,334.0049058640573,182.7674844888122,126.65466030365054
CIUDAD BOLIVAR,2018,3948.0,2311.0,286.0,707569,557.9667848647977,326.61125628737267,40.42008623893924
CIUDAD BOLIVAR,2019,3792.0,2392.0,770.0,707569,535.9194650981035,338.05890308931004,108.82330910483643
CIUDAD BOLIVAR,2020,3949.0,1743.0,442.0,707569,558.108113837661,246.3363997009479,62.46740600563337
CIUDAD BOLIVAR,2021,3406.0,2202.0,573.0,707569,481.3664815728219,311.20639824525944,80.98150145074192
CIUDAD BOLIVAR,2022,3748.0,1798.0,450.0,707569,529.7009902921128,254.10949320843622,63.59803778854076
CIUDAD BOLIVAR,2023,5856.0,2068.0,525.0,707569,827.6224650882106,292.2683158815607,74.19771075329756
CIUDAD BOLIVAR,2024,4773.0,2283.0,835.0,707569,674.5631874771224,322.6540450471968,118.00969234095898
CIUDAD BOLIVAR,2025,3235.0,1363.0,1028.0,707569,457.19922721317636,192.63139001284682,145.2861841035998
SUMAPAZ,2018,28.0,22.0,0.0,6531,428.72454448017146,336.85499923442046,0.0
SUMAPAZ,2019,2.0,0.0,0.0,6531,30.62318174858368,0.0,0.0
SUMAPAZ,2020,24.0,11.0,0.0,6531,367.4781809830041,168.42749961721023,0.0
SUMAPAZ,2021,0.0,1.0,1.0,6531,0.0,15.31159087429184,15.31159087429184
SUMAPAZ,2022,2.0,0.0,1.0,6531,30.62318174858368,0.0,15.31159087429184
SUMAPAZ,2023,0.0,0.0,1.0,6531,0.0,0.0,15.31159087429184
SUMAPAZ,2024,1.0,0.0,1.0,6531,15.31159087429184,0.0,15.31159087429184
SUMAPAZ,2025,0.0,0.0,0.0,6531,0.0,0.0,0.0
